Journal,Volume,Year,Issue,Title,Authors,FileName,URL,DOI
J of Congnitive Neuroscience,1,1989,1,Editor's Note:,,Gazzaniga_Editor's Note_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.2,https://doi.org/10.1162/jocn.1989.1.1.2
J of Congnitive Neuroscience,1,1989,1,Static and Dynamic Aspects of Cortical Somatotopy: A Critical Evaluation,,Killackey_Static and Dynamic Aspects of Cortical Somatotopy A Critical Evaluation_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.3,https://doi.org/10.1162/jocn.1989.1.1.3
J of Congnitive Neuroscience,1,1989,1,Behavioral Indices of Multisensory Integration: Orientation to Visual Cues is Affected by Auditory Stimuli,,Stein et al_Behavioral Indices of Multisensory Integration Orientation to Visual Cues is Affected by Auditory Stimuli_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.12,https://doi.org/10.1162/jocn.1989.1.1.12
J of Congnitive Neuroscience,1,1989,1,The Effects of Focal Brain Damage on Sentence Processing: an examination of the neurological organization of a mental module,,Swinney et al_The Effects of Focal Brain Damage on Sentence Processing an examination of the neurological organization of a mental module_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.25,https://doi.org/10.1162/jocn.1989.1.1.25
J of Congnitive Neuroscience,1,1989,1,An Electrophysiological Probe of Incidental Semantic Association,,Kutas & Hillyard_An Electrophysiological Probe of Incidental Semantic Association_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.38,https://doi.org/10.1162/jocn.1989.1.1.38
J of Congnitive Neuroscience,1,1989,1,Is Word Recognition Automatic? A Cognitive-Anatomical Approach,,Posner et al_Is Word Recognition Automatic A Cognitive-Anatomical Approach_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.50,https://doi.org/10.1162/jocn.1989.1.1.50
J of Congnitive Neuroscience,1,1989,1,Derivation of Encoding Characteristics of Layer II Cerebral Cortex,,Granger et al_Derivation of Encoding Characteristics of Layer II Cerebral Cortex_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.61,https://doi.org/10.1162/jocn.1989.1.1.61
J of Congnitive Neuroscience,1,1989,1,Brainprints: Computer-Generated Two-Dimensional Maps of the Human Cerebral Cortex in vivo,,Jouandet et al_Brainprints Computer-Generated Two-Dimensional Maps of the Human Cerebral Cortex in vivo_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.88,https://doi.org/10.1162/jocn.1989.1.1.88
J of Congnitive Neuroscience,2,1990,1,Neocortical Expansion: An Attempt toward Relating Phylogeny and Ontogeny,,Killackey_Neocortical Expansion An Attempt toward Relating Phylogeny and Ontogeny_1990.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1990.2.1.1,https://doi.org/10.1162/jocn.1990.2.1.1
J of Congnitive Neuroscience,2,1990,1,Enhancement of Metabolic Activity in the Diencephalon of Monkeys Performing Working Memory Task: A 2-Deoxyglucose Study in Behaving Rhesus Monkeys,,Friedman et al_Enhancement of Metabolic Activity in the Diencephalon of Monkeys Performing Working Memory Task A 2-Deoxyglucose Study in Behaving Rhesus Monkeys_1990.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1990.2.1.18,https://doi.org/10.1162/jocn.1990.2.1.18
