Journal,Volume,Year,Issue,Title,Authors,FileName,URL,DOI,IllegalTitleChars,IllegalAuthorsChars,DownloadFlag
J of Cognitive Neuroscience,1,1989,1,Editor's Note:,Michael S. Gazzaniga,Gazzaniga_Editor's Note_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.2,https://doi.org/10.1162/jocn.1989.1.1.2,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,1,Static and Dynamic Aspects of Cortical Somatotopy: A Critical Evaluation,Herbert P. Killackey,Killackey_Static and Dynamic Aspects of Cortical Somatotopy A Critical Evaluation_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.3,https://doi.org/10.1162/jocn.1989.1.1.3,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,1,Behavioral Indices of Multisensory Integration: Orientation to Visual Cues is Affected by Auditory Stimuli,"Barry E. Stein, M. Alex Meredith, W. Scott Huneycutt, and Lawrence McDade",Stein et al_Behavioral Indices of Multisensory Integration Orientation to Visual Cues is Affected by Auditory Stimuli_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.12,https://doi.org/10.1162/jocn.1989.1.1.12,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,1,The Effects of Focal Brain Damage on Sentence Processing: an examination of the neurological organization of a mental module,"David Swinney, Edgar Zurif, and Janet Nicol",Swinney et al_The Effects of Focal Brain Damage on Sentence Processing an examination of the neurological organization of a mental module_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.25,https://doi.org/10.1162/jocn.1989.1.1.25,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,1,An Electrophysiological Probe of Incidental Semantic Association,Marta Kutas and Steven A. Hillyard,Kutas & Hillyard_An Electrophysiological Probe of Incidental Semantic Association_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.38,https://doi.org/10.1162/jocn.1989.1.1.38,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,1,Is Word Recognition Automatic? A Cognitive-Anatomical Approach,"Michael I. Posner, Jennifer Sandson, Meena Dhawan, and Gordon L. Shulman",Posner et al_Is Word Recognition Automatic A Cognitive-Anatomical Approach_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.50,https://doi.org/10.1162/jocn.1989.1.1.50,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,1,Derivation of Encoding Characteristics of Layer II Cerebral Cortex,"Richard Granger, Jose Ambros-Ingerson, and Gary Lynch",Granger et al_Derivation of Encoding Characteristics of Layer II Cerebral Cortex_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.61,https://doi.org/10.1162/jocn.1989.1.1.61,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,1,Brainprints: Computer-Generated Two-Dimensional Maps of the Human Cerebral Cortex in vivo,"Marc L. Jouandet, Mark Jude Tramo, Daniel M. Herron, Allison Hermann, William C. Loftus, Josh Bazell, and Michael S. Gazzaniga",Jouandet et al_Brainprints Computer-Generated Two-Dimensional Maps of the Human Cerebral Cortex in vivo_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.1.88,https://doi.org/10.1162/jocn.1989.1.1.88,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,2,Editor's Note,Michael S. Gazzaniga,Gazzaniga_Editor's Note_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.2.120,https://doi.org/10.1162/jocn.1989.1.2.120,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,2,Why Does the Brain Have So Many Visual Areas?,Jon H. Kaas,Kaas_Why Does the Brain Have So Many Visual Areas_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.2.121,https://doi.org/10.1162/jocn.1989.1.2.121,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,2,Timing Functions of The Cerebellum,Richard B. Ivry and Steven W. Keele,Ivry & Keele_Timing Functions of The Cerebellum_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.2.136,https://doi.org/10.1162/jocn.1989.1.2.136,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,2,Positron Emission Tomographic Studies of the Processing of Singe Words,"Steven E. Petersen, Peter T. Fox, Michael I. Posner, Mark Mintun, and Marcus E. Raichle",Petersen et al_Positron Emission Tomographic Studies of the Processing of Singe Words_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.2.153,https://doi.org/10.1162/jocn.1989.1.2.153,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,2,"Why are ""What"" and ""Where"" Processed by Separate Cortical Visual Systems? A Computational Investigation","Jay G. Rueckl, Kyle R. Cave, and Stephen M. Kosslyn",Rueckl et al_Why are What and Where Processed by Separate Cortical Visual Systems A Computational Investigation_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.2.171,https://doi.org/10.1162/jocn.1989.1.2.171,False,False,NO MATCH FOUND
J of Cognitive Neuroscience,1,1989,2,The Recognition of Antonymy by a Language-Enriched Right Hemisphere,Michael S. Gazzaniga and George A. Miller,Gazzaniga & Miller_The Recognition of Antonymy by a Language-Enriched Right Hemisphere_1989.pdf,https://www.mitpressjournals.org/doi/pdf/10.1162/jocn.1989.1.2.187,https://doi.org/10.1162/jocn.1989.1.2.187,False,False,NO MATCH FOUND
